,time,red,green,blue,gray
0,2021-05-15 11:59:04,116.95229648919754,116.88102864583334,114.46306520061728,116.6121412037037
1,2021-05-15 12:04:04,113.72038146219136,115.59439429012346,117.6854615162037,115.26353202160495
2,2021-05-15 12:09:05,117.32407841435185,118.82374228395062,118.7255820794753,118.35511429398149
3,2021-05-15 12:14:06,120.38986593364197,122.10460792824074,124.97572000385803,121.91609567901234
4,2021-05-15 12:19:06,121.35544608410494,123.52406153549383,126.02200086805556,123.15747588734568
5,2021-05-15 12:24:07,117.90310860339507,120.0935122492284,123.86153501157408,119.86199411651235
6,2021-05-15 12:29:08,120.01138358410493,122.38923611111112,125.76558690200618,122.0594492669753
7,2021-05-15 12:34:09,117.5930507330247,120.61178192515432,123.79450183256174,120.06111255787037
8,2021-05-15 12:39:09,113.3411964699074,116.1278940007716,119.37033516589506,115.65245852623457
9,2021-05-15 12:44:10,117.20050925925926,119.13318479938272,122.52372010030864,118.93293451003086
10,2021-05-15 12:49:11,116.17618682484567,117.87838879243827,118.16699845679013,117.40423900462963
11,2021-05-15 12:54:11,118.54487557870371,120.18782889660494,121.62156057098765,119.86105709876543
12,2021-05-15 12:59:12,116.83105324074074,118.63996479552469,120.53260898919753,118.31572337962963
13,2021-05-15 13:04:13,117.23637490354939,119.15795138888889,120.69072916666667,118.763057966821
14,2021-05-15 13:09:14,118.43269241898147,120.3886043595679,121.95190923996914,119.98675588348766
15,2021-05-15 13:14:14,119.83649739583333,121.71305073302469,123.19666039737655,121.32846161265432
16,2021-05-15 13:19:15,122.70256317515432,124.40967158564816,125.56749421296297,124.03728539737655
17,2021-05-15 13:24:16,120.21236641589506,121.90646074459876,122.60500578703704,121.48507233796296
18,2021-05-15 13:29:17,121.69816550925925,123.22568817515432,123.83661458333333,122.84697627314814
19,2021-05-15 13:34:18,123.21810185185186,124.43974874614197,126.73506992669753,124.34310812114198
20,2021-05-15 13:39:19,121.45431327160493,123.32869502314814,124.44116801697531,122.90435908564815
21,2021-05-15 13:44:20,123.31161554783951,125.0201885609568,126.56066840277778,124.69447289737654
22,2021-05-15 13:49:20,122.65218171296296,123.72596643518519,124.52029947916667,123.50239872685185
23,2021-05-15 13:54:21,118.70205391589506,120.30712818287037,120.30660059799382,119.83535927854938
24,2021-05-15 13:59:22,121.90370322145061,123.92242332175925,125.12233940972222,123.46306327160494
25,2021-05-15 14:04:23,115.39404706790124,117.44548369984568,118.36565297067901,116.94468267746913
26,2021-05-15 14:09:23,118.14593460648148,119.46436005015433,120.46095389660493,119.19162808641975
27,2021-05-15 14:14:24,119.73023967978395,121.93379581404321,123.261171875,121.43331066743828
28,2021-05-15 14:19:25,115.45008584104939,118.2057277199074,120.86069299768519,117.685557966821
29,2021-05-15 14:24:26,113.01863908179013,113.8831568287037,113.09737750771605,113.52862750771605
30,2021-05-15 14:29:27,113.74602671682099,114.51041329089506,113.34972511574074,114.15058545524691
31,2021-05-15 14:34:28,119.55449701003086,119.7964631558642,117.53847704475308,119.47172984182099
32,2021-05-15 14:39:29,123.73519290123457,124.28302662037036,123.16374083719136,123.99714554398147
33,2021-05-15 14:44:29,119.88648967978395,121.43179783950617,124.40499373070988,121.30965470679013
34,2021-05-15 14:49:30,111.10529658564815,113.11518759645061,115.2022053433642,112.75848090277778
35,2021-05-15 14:54:31,113.50419945987655,115.38470486111112,115.35603250385803,114.8211366705247
36,2021-05-15 14:59:32,121.00114149305556,122.75311149691358,125.18947916666667,122.50330825617284
37,2021-05-15 15:04:33,114.20114293981482,116.15208960262346,115.79790364583333,115.53500096450617
38,2021-05-15 15:09:34,115.52645785108025,116.73896460262345,115.77351369598766,116.27428481867284
39,2021-05-15 15:14:34,116.99339554398148,118.21204427083333,117.32167824074074,117.75031684027778
40,2021-05-15 15:19:35,117.36334056712963,118.42831018518518,117.2675250771605,117.98086033950618
41,2021-05-15 15:24:36,118.71389130015432,119.36960744598765,118.34987364969136,119.0582600308642
42,2021-05-15 15:29:37,119.93,120.9733097029321,120.32741367669753,120.59128665123457
43,2021-05-15 15:34:38,116.62062403549383,118.03007282021605,118.27213541666667,117.6366512345679
44,2021-05-15 15:39:39,114.61765673225308,115.58488233024691,114.69359567901235,115.19177276234568
45,2021-05-15 15:44:40,114.22929735725309,114.75115354938272,113.48246238425926,114.45079427083333
46,2021-05-15 15:49:41,115.70310908564815,116.16876109182098,115.46217206790124,115.94884548611111
47,2021-05-15 15:54:42,114.50027874228395,115.07046923225309,114.8151065779321,114.87147665895061
48,2021-05-15 15:59:42,114.65821807484568,114.75079041280864,113.78877459490741,114.61808352623457
49,2021-05-15 16:04:43,115.39860532407407,115.83529417438271,115.08733458719136,115.62257330246914
50,2021-05-15 16:09:44,114.42340760030864,114.9956143904321,113.8469246720679,114.70270351080246
51,2021-05-15 16:14:45,111.50345052083334,111.8525318287037,110.6565769675926,111.61899160879629
52,2021-05-15 16:19:46,111.41776379243827,112.38386815200617,110.20706983024691,111.86104648919753
53,2021-05-15 16:24:46,112.13915605709876,112.86346064814815,110.2523292824074,112.35393229166667
54,2021-05-15 16:29:47,113.96404031635802,114.22868827160494,111.11989486882716,113.8119849537037
55,2021-05-15 16:34:48,115.39491898148148,115.86615596064814,113.64663532021605,115.48145543981481
56,2021-05-15 16:39:49,112.82249228395062,113.42009837962964,110.96340084876543,112.96999903549383
57,2021-05-15 16:44:50,115.57457947530864,116.02690007716049,113.39895158179013,115.60430507330247
58,2021-05-15 16:49:50,114.97740885416667,115.47290364583333,112.76922598379629,115.0260513117284
59,2021-05-15 16:54:51,114.93887297453703,115.26120081018519,112.43362702546297,114.83783613040123
60,2021-05-15 16:59:52,118.08215711805556,118.3617650462963,115.22432677469136,117.90937017746914
61,2021-05-15 17:04:53,116.43934172453703,117.11167390046296,114.1020597029321,116.557003279321
62,2021-05-15 17:09:53,114.17949797453704,115.2669034529321,112.23904755015432,114.58431664737654
63,2021-05-15 17:14:54,116.0770384837963,116.71142795138888,113.9195842978395,116.18759500385802
